,file_name,case_name,docket_number,Argued,Decided,first_party,first_party_label,second_party,second_party_label,winning_party,decision_type,majority_vote,minority_vote,john_m_harlan2,hugo_l_black,william_o_douglas,potter_stewart,william_j_brennan_jr,byron_r_white,earl_warren,tom_c_clark,abe_fortas,thurgood_marshall,harry_a_blackmun,lewis_f_powell_jr,william_h_rehnquist,john_paul_stevens,sandra_day_oconnor,antonin_scalia,advocate_ID_0,advocate_0,advocate_description_0,advocate_ID_1,advocate_1,advocate_description_1,anthony_m_kennedy,david_h_souter,clarence_thomas,ruth_bader_ginsburg,stephen_g_breyer,advocate_ID_2,advocate_2,advocate_description_2,Granted,john_g_roberts_jr,samuel_a_alito_jr,warren_e_burger,Reargued,felix_frankfurter,harold_burton,stanley_reed,sherman_minton,arthur_j_goldberg,sonia_sotomayor,advocate_ID_3,advocate_3,advocate_description_3,advocate_ID_4,advocate_4,advocate_description_4,charles_e_whittaker,advocate_ID_5,advocate_5,advocate_description_5,advocate_ID_6,advocate_6,advocate_description_6,advocate_ID_7,advocate_7,advocate_description_7,advocate_ID_8,advocate_8,advocate_description_8,advocate_ID_9,advocate_9,advocate_description_9,elena_kagan,neil_gorsuch,brett_m_kavanaugh,advocate_ID_10,advocate_10,advocate_description_10,Restored to the calendar and set for reargument,"Revoked order of June 23, 1975",advocate_ID_11,advocate_11,advocate_description_11,advocate_ID_12,advocate_12,advocate_description_12,advocate_ID_13,advocate_13,advocate_description_13,advocate_ID_14,advocate_14,advocate_description_14,advocate_ID_15,advocate_15,advocate_description_15,Question certified to the Supreme Court of Florida,Question certified,Juris Postponed
0,1963.48,Yiatchos v. Yiatchos,48,-188848800.0,-183492000.0,Yiatchos,Petitioner,Yiatchos,Respondent,Yiatchos,majority opinion,7.0,2.0,majority,majority,minority,majority,majority,majority,majority,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1971.70-97,Norfolk & Western R. Company v. Nemitz,70-97,56869200.0,59032800.0,Norfolk & Western R. Company,Petitioner,Nemitz,Respondent,,majority opinion,4.0,3.0,,,majority,majority,majority,minority,,,,majority,minority,,,,,,36174.0,martin_m_lucente,for petitioner,43023.0,thomas_j_murray_jr,for respondents,,,,,,,,,,,,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2002.02-215,"PacifiCare Health Systems, Inc. v. Book",02-215,1046066400.0,1049691600.0,"PacifiCare Health Systems, Inc.",Petitioner,Book,Respondent,"PacifiCare Health Systems, Inc.",majority opinion,8.0,0.0,,,,,,,,,,,,,majority,majority,majority,majority,44797.0,william_e_grauer,Argued the cause for the petitioners,33544.0,joe_r_whatley_jr,Argued the cause for the respondents,majority,majority,none,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1981.80-2070,"Sumitomo Shoji America, Inc. v. Avagliano",80-2070,388645200.0,392965200.0,"Sumitomo Shoji America, Inc.",Petitioner,Avagliano,Respondent,,majority opinion,9.0,0.0,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,15666.0,abram_chayes,"on behalf of Sumitomo Shoji America, Inc",35073.0,lewis_m_steel,on behalf of Avagliano et al,,,,,,35240.0,lawrence_g_wallace,on behalf of the United States as amicus curiae,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1986.85-1033,Kelly v. Robinson,85-1033,529131600.0,532159200.0,Kelly,Petitioner,Robinson,Respondent,Kelly,majority opinion,7.0,2.0,,,,,majority,majority,,,,minority,majority,majority,majority,minority,majority,majority,20089.0,carl_j_schuman,on behalf of Petitioners,23803.0,francis_x_dineen,on behalf of Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1987.86-1387,"Mackey v. Lanier Collection Agency & Service, Inc.",86-1387,577429200.0,582526800.0,Mackey,Petitioner,"Lanier Collection Agency & Service, Inc.",Respondent,,majority opinion,5.0,4.0,,,,,majority,majority,,,,majority,minority,,majority,majority,minority,minority,22712.0,ernest_l_mathews_jr,on behalf of the Petitioners,17885.0,brian_j_martin,"as amicus curiae, supporting Petitioners",minority,,,,,36325.0,maureen_e_mahoney,"as amicus curiae, supporting judgment below",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1984.83-1329,Ponte v. Real,83-1329,474098400.0,485413200.0,Ponte,Petitioner,Real,Respondent,Ponte,majority opinion,6.0,2.0,,,,,minority,majority,,,,minority,majority,none,majority,majority,majority,,33077.0,jonathan_shapiro,on behalf of the Respondent,36181.0,martin_e_levin,on behalf of the Petitioner,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1956.4260000000002,Blackburn v. Alabama,426,-399754800.0,-395780400.0,Blackburn,Petitioner,Alabama,Respondent,Blackburn,per curiam,6.0,3.0,majority,minority,minority,,minority,,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1998.98-377,Dickinson v. Zurko,98-377,922255200.0,928990800.0,Dickinson,Petitioner,Zurko,Respondent,Dickinson,majority opinion,6.0,3.0,,,,,,,,,,,,,minority,majority,majority,majority,22349.0,ernest_gellhorn,Argued the cause for the respondents,35240.0,lawrence_g_wallace,Argued the cause for the petitioner,minority,majority,majority,minority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1985.84-6263,Batson v. Kentucky,84-6263,503215200.0,515221200.0,Batson,Petitioner,Kentucky,Respondent,Batson,majority opinion,7.0,2.0,,,,,majority,majority,,,,majority,majority,majority,minority,majority,majority,,32231.0,j_david_niehaus,Argued the cause for the petitioner,40149.0,rickie_l_pearson,Argued the cause for the respondent,,,,,,35240.0,lawrence_g_wallace,Argued the cause for the United States as amicus curiae urging affirmance,,,,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1984.83-2146,Wilson v. Garcia,83-2146,474530400.0,482565600.0,Wilson,Petitioner,Garcia,Respondent,,majority opinion,7.0,1.0,,,,,majority,majority,,,,majority,majority,none,majority,majority,minority,,17742.0,bruce_hall,on behalf of the petitioners,41305.0,steven_g_farber,on behalf of the respondent,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1979.78-1418,Bloomer v. Liberty Mutual Insurance Company,78-1418,313135200.0,320911200.0,Bloomer,Petitioner,Liberty Mutual Insurance Company,Respondent,,majority opinion,8.0,1.0,,,,majority,majority,majority,,,,majority,minority,majority,majority,majority,,,20616.0,douglas_a_boeckmann,on behalf of the respondent,16790.0,alan_c_rassner,on behalf of the petitioner,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1994.93-7927,Kyles v. Whitley,93-7927,784188000.0,798267600.0,Curtis Lee Kyles ,Petitioner,John P. Whitley,Respondent,Kyles,majority opinion,5.0,4.0,,,,,,,,,,,,,minority,majority,majority,minority,32323.0,jack_peebles,on behalf of the Respondent,31626.0,james_s_liebman,on behalf of the Petitioner,minority,majority,minority,majority,majority,,,,767250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1988.87-1245,"Texas Monthly, Inc. v. Bullock",87-1245,594367200.0,604044000.0,"Texas Monthly, Inc.",Appellant,"Bob Bullock, Comptroller of Public Accounts of the State of Texas et al.",Appellee,"Texas Monthly, Inc.",plurality opinion,6.0,3.0,,,,,majority,majority,,,,majority,majority,,minority,majority,majority,minority,39347.0,roger_j_george_jr,argued the cause for the appellant,26572.0,harriet_d_burke,"Assistant Attorney General of Texas, argued the cause for appellees",minority,,,,,39377.0,roger_james_george_jr,on behalf of the appellant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2006.06-102,Sinochem International Co. Ltd. v. Malaysia International Shipping Corp.,06-102,1168322400.0,1173074400.0,Sinochem International Co. Ltd.,Petitioner,Malaysia International Shipping Corporation,Respondent,"Sinochem International Co., Ltd.",majority opinion,9.0,0.0,,,,,,,,,,,,,,majority,,majority,25056.0,gregory_andrew_castanias,argued the cause for Petitioner,20751.0,douglas_hallward_driemeier,argued the cause for Petitioner,majority,majority,majority,majority,majority,16188.0,ann_michele_g_higgins,argued the cause for Respondent,1159246800.0,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1976.75-1812,Shaffer v. Heitner,75-1812,225439200.0,235976400.0,Shaffer,Appellant,Heitner,Appellee,Shaffer,majority opinion,7.0,1.0,,,,majority,minority,majority,,,,majority,majority,majority,none,majority,,,32529.0,john_r_reese,for appellants,36281.0,michael_f_maschio,for appellee,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1956.18,United States v. Western Pacific Railroad Company,18,-416948400.0,-412711200.0,United States,Petitioner,Western Pacific Railroad Company,Respondent,United States,majority opinion,6.0,1.0,majority,majority,minority,,none,,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1975.74-1487,United States v. MacCollom,74-1487,196927200.0,203230800.0,United States,Petitioner,MacCollom,Respondent,United States,plurality opinion,5.0,4.0,,,,majority,minority,minority,,,,minority,majority,majority,majority,minority,,,23867.0,frank_h_easterbrook,"pro hac vice, by special leave of Court for petitioner",33094.0,john_strait,for respondent,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2003.02-682,"Verizon Communications, Inc. v. Law Offices of Curtis V. Trinco, LLP",02-682,1066107600.0,1073973600.0,Verizon Communications Inc.,Petitioner,"Law Offices of Curtis V. Trinko, LLP",Respondent,Verizon Communications Inc.,majority opinion,9.0,0.0,,,,,,,,,,,,,majority,majority,majority,majority,40639.0,richard_g_taranto,argued the cause for Petitioner,43165.0,theodore_b_olson,"argued the cause for Petitioner, on behalf of the United States, as amicus curiae",majority,majority,majority,majority,majority,21656.0,donald_b_verrilli_jr,argued the cause for Respondent,1047276000.0,,,,,,,,,,,38778.0,robert_h_bork,for the Project to Promote Competition and Innovation in the Digital Age as amicus curiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1958.21,"Hotel Employees Local No. 255, Hotel and Restaurant Employees and Bartenders International Union v. Leedom",21,-351626400.0,-350416800.0,"Hotel Employees Local No. 255, Hotel and Restaurant Employees and Bartenders International Union",Petitioner,Leedom,Respondent,"Hotel Employees Local No. 255, Hotel and Restaurant Employees and Bartenders International Union",per curiam,9.0,0.0,majority,majority,majority,majority,majority,,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1990.89-1391,Rust v. Sullivan,89-1391,657266400.0,674974800.0,Rust,Petitioner,Sullivan,Respondent,,majority opinion,5.0,4.0,,,,,,majority,,,,minority,minority,,majority,minority,minority,majority,35187.0,laurence_h_tribe,Argued the cause for the petitioners,33983.0,kenneth_w_starr,Argued the cause for the respondent,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1999.99-5746,Weeks v. Angelone,99-5746,944460000.0,948261600.0,Weeks,Petitioner,Angelone,Respondent,,majority opinion,5.0,4.0,,,,,,,,,,,,,majority,minority,majority,majority,36425.0,mark_e_olive,Argued the cause for the petitioner,38551.0,robert_h_anderson_iii,"Richmond, Virginia, argued the cause for the respondent",majority,minority,majority,minority,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2006.06-116,Limtiaco v. Camacho,06-116,1168236000.0,1174971600.0,"Alicia G. Limtiaco, Attorney General of Guam",Petitioner,"Felix P. Camacho, Governor of Guam",Respondent,"Alicia G. Limtiaco, Attorney General of Guam",majority opinion,5.0,4.0,,,,,,,,,,,,,,minority,,majority,17414.0,beth_s_brinkmann,argued the cause for Respondent,42213.0,seth_p_waxman,argued the cause for Petitioner,majority,minority,majority,minority,majority,,,,1159246800.0,majority,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1989.88-5050,Holland v. Illinois,88-5050,624085200.0,632988000.0,Holland,Petitioner,Illinois,Respondent,,majority opinion,5.0,4.0,,,,,minority,majority,,,,minority,minority,,majority,minority,majority,majority,20951.0,donald_s_honchell,on behalf of Petitioner,28539.0,inge_fryklund,on behalf of Respondent,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1964.96,Reserve Life Insurance Co. v. Bowers,96,-152388000.0,-151437600.0,Reserve Life Insurance Co.,Appellant,Bowers,Appellee,Reserve Life Insurance Co.,per curiam,7.0,1.0,majority,minority,majority,none,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1983.82-206,Firefighters Local Union No. 1784 v. Stotts,82-206,439538400.0,455864400.0,Firefighters Local Union No. 1784,Petitioner,Stotts,Respondent,Firefighters Local Union No. 1784,majority opinion,6.0,3.0,,,,,minority,majority,,,,minority,minority,majority,majority,majority,majority,,15441.0,allen_s_blair,on behalf of the Petitioners,39191.0,richard_b_fields,on behalf of the Respondents,,,,,,39761.0,rex_e_lee,amicus curiae,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2019.18-1587,United States Forest Service v. Cowpasture River Preservation Association,18-1587,1582524000.0,,"United States Forest Service, et al.",Petitioner,"Cowpasture River Association, et al.",Respondent,,,,,,,,,,,,,,,,,,,,,17293.0,anthony_a_yang,for the Petitioner,37772.0,paul_d_clement,for the Petitioner,,,,,,36128.0,michael_k_kellogg,for the Respondents,1570165200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2019.19-177,"United States Agency for International Development v. Alliance for Open Society International, Inc.",19-177,1588654800.0,,"United States Agency for International Development, et al.",Petitioner,"Alliance for Open Society International, Inc., et al.",Respondent,,,,,,,,,,,,,,,,,,,,,62926.0,christopher_g_michel,for the petitioners,20625.0,david_w_bowker,for the respondents,,,,,,,,,1576216800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1998.97-1235,City of Monterey v. Del Monte Dunes at Monterey,97-1235,907736400.0,927522000.0,City of Monterey,Petitioner,Del Monte Dunes at Monterey,Respondent,,majority opinion,9.0,0.0,,,,,,,,,,,,,majority,majority,majority,majority,35410.0,michael_m_berger,Argued the cause for the respondents,22617.0,edwin_s_kneedler,"On behalf of the United States, as amicus curiae, supporting the petitioner",majority,majority,majority,majority,majority,26342.0,george_a_yuhas,Argued the cause for the petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1956.3,Nelson v. New York City,30,-414957600.0,-412106400.0,Nelson,Appellant,New York City,Appellee,,majority opinion,8.0,1.0,minority,majority,majority,,majority,,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2016.15-497,Fry v. Napoleon Community Schools,15-497,1477890000.0,1487743200.0,"Stacy Fry, et vir, as Next Friends of Minor E. F.",Petitioner,"Napoleon Community Schools, et al. ",Respondent,Stacy Fry,majority opinion,8.0,0.0,,,,,,,,,,,,,,,,,41035.0,samuel_r_bagenstos,for petitioners,37171.0,neal_kumar_katyal,for defendants,majority,,majority,majority,majority,56052.0,roman_martinez,"for United States, as amicus curiae",1467090000.0,majority,majority,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,
0,1987.87-82,FDIC v. Mallen,87-82,575013600.0,581058000.0,FDIC,Appellant,Mallen,Appellee,FDIC,majority opinion,9.0,0.0,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,35562.0,mary_e_curtin,on behalf of the appellees,30821.0,john_c_harrison,on behalf of the appellant,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1964.82,Carrington v. Rash,82,-155412000.0,-152647200.0,Carrington,Petitioner,Rash,Respondent,Carrington,majority opinion,7.0,1.0,minority,majority,majority,majority,majority,majority,none,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2010.09-525,"Janus Capital Group, Inc. v. First Derivative Traders",09-525,1291701600.0,1307941200.0,"Janus Capital Group, Inc., et al.",Petitioner,First Derivative Traders,Respondent,"Janus Capital Group, Inc., et al.",majority opinion,5.0,4.0,,,,,,,,,,,,,,,,majority,36483.0,mark_a_perry,for the petitioners,20869.0,david_c_frederick,for the respondent,majority,,majority,minority,minority,19038.0,curtis_e_gannon,"Assistant to the Solicitor General, Department of Justice, for the United States as amicus curiae, supporting the respondent",1277701200.0,majority,majority,,,,,,,,minority,,,,,,,,,,,,,,,,,,,,,,,minority,,,,,,,,,,,,,,,,,,,,,,,,,
0,1969.29,Detroit & Toledo Shore Line R. Company v. United Transportation Union,29,-6289200.0,-1965600.0,Detroit & Toledo Shore Line R. Company,Petitioner,United Transportation Union,Respondent,,majority opinion,6.0,2.0,minority,majority,majority,majority,majority,majority,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1990.88-7247,Lankford v. Idaho,88-7247,666943200.0,674715600.0,Lankford,Petitioner,Idaho,Respondent,Lankford,majority opinion,5.0,4.0,,,,,,minority,,,,majority,majority,,minority,majority,majority,minority,34407.0,larry_echohawk,on behalf of the Respondent,30324.0,joan_marie_fisher,on behalf of the Petitioner,majority,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1983.82-945,"Sure-Tan, Inc. v. National Labor Relations Board",82-945,439538400.0,456987600.0,"Sure-Tan, Inc., et al.",Petitioner,National Labor Relations Board,Respondent,,majority opinion,7.0,2.0,,,,,majority,majority,,,,majority,majority,minority,minority,majority,majority,,22617.0,edwin_s_kneedler,on behalf of the Respondent,35832.0,michael_r_flaherty,on behalf of the Petitioner,,,,,,,,,415864800.0,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1964.2020000000002,Griffin v. California,202,-151956000.0,-147639600.0,Griffin,Petitioner,California,Respondent,Griffin,majority opinion,6.0,2.0,majority,majority,majority,minority,majority,minority,none,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1985.84-1726,East River Steamship Corporation v. Transamerica Delaval Inc.,84-1726,506671200.0,519282000.0,East River Steamship Corporation,Petitioner,Transamerica Delaval Inc.,Respondent,,majority opinion,9.0,0.0,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,40382.0,robert_eugene_smith,on behalf of the respondent,42589.0,thomas_e_durkin_jr,on behalf of the petitioners,,,,,,40380.0,robert_smith,on behalf of the respondent,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1997.96-779,Arkansas Educational Television Commission v. Forbes,96-779,876286800.0,895467600.0,Arkansas Educational Television Commission,Petitioner,Forbes,Respondent,Arkansas Educational Television Commission,majority opinion,6.0,3.0,,,,,,,,,,,,,majority,minority,majority,majority,39895.0,richard_d_marks,Argued the cause for the petitioner,33987.0,kelly_j_shackelford,Argued the cause for the respondent,majority,minority,majority,minority,majority,35240.0,lawrence_g_wallace,"On behalf of the United States, as amicus curiae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2016.15-118,Hernandez v. Mesa,15-118,1487656800.0,,"Jesus C. Hernandez, et al.",Petitioner,"Jesus Mesa, Jr.",Respondent,,,,,,,,,,,,,,,,,,,,,62812.0,robert_c_hilliard,on behalf of petitioners,62813.0,randolph_j_ortega,on behalf of respondent,,,,,,22617.0,edwin_s_kneedler,"Deputy Solicitor General, Department of Justice, on behalf of federal respondents",1476162000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1976.54_orig,United States v. Florida,54 ORIG,222328800.0,225525600.0,United States,Petitioner,Florida,Respondent,,per curiam,9.0,0.0,,,,majority,majority,majority,,,,majority,majority,majority,majority,majority,,,34311.0,lee_c_clyburn,,46106.0,william_f_sheehan,,,,,,,41775.0,sidney_h_mckenzie_iii,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1978.78-749,Kentucky v. Whorton,78-749,293090400.0,296110800.0,Kentucky,Petitioner,Whorton,Respondent,Kentucky,per curiam,6.0,3.0,,,,minority,minority,majority,,,,minority,majority,majority,majority,majority,,,38041.0,patrick_b_kimberlin_iii,,42673.0,terrence_r_fitzgerald,,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1995.94-12,Seminole Tribe of Florida v. Florida,94-12,813387600.0,827906400.0,Seminole Tribe of Florida,Petitioner,Florida,Respondent,,majority opinion,5.0,4.0,,,,,,,,,,,,,majority,minority,majority,majority,17968.0,bruce_s_rogow,on behalf of the Petitioner,20740.0,drew_s_days_iii,"on behalf of the United States, as amicus curiae, supporting the Petitioner",majority,minority,majority,minority,minority,30413.0,jonathan_a_glogau,on behalf of the Respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1998.98-149,College Savings Bank v. Florida Prepaid Post-Secondary Education Expense Board,98-149,924584400.0,930114000.0,College Savings Bank,Petitioner,Florida Prepaid Post-Secondary Education Expense Board,Respondent,,majority opinion,5.0,4.0,,,,,,,,,,,,,majority,minority,majority,majority,45499.0,william_b_mallin,"on behalf of the Respondents Florida Prepaid Postsecondary Education Expense Board, et al",21605.0,david_c_todd,Argued the cause for the petitioner,majority,minority,majority,minority,minority,42213.0,seth_p_waxman,Argued the cause for the United States as respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1989.89-98,Davis v. United States,89-98,638431200.0,643266000.0,Davis,Petitioner,United States,Respondent,,majority opinion,9.0,0.0,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,41846.0,shirley_d_peterson,on behalf of the Respondent,39761.0,rex_e_lee,on behalf of the Petitioners,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1979.78-1815,Andrus v. Shell Oil Company,78-1815,316764000.0,328770000.0,Andrus,Petitioner,Shell Oil Company,Respondent,,majority opinion,6.0,3.0,,,,minority,minority,majority,,,,minority,majority,majority,majority,majority,,,24061.0,fowler_hamilton,on behalf of the Respondents,35240.0,lawrence_g_wallace,on behalf of the Petitioner,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1975.74-1646,Andresen v. Maryland,74-1646,194076000.0,204872400.0,Andresen,Petitioner,Maryland,Respondent,,majority opinion,7.0,2.0,,,,majority,minority,majority,,,,minority,majority,majority,majority,majority,,,37654.0,peter_c_andresen,"pro se, by Jon F",32277.0,jon_f_oster,,,,,,,38517.0,randolph,,,,,majority,,,,,,,,16855.0,a_raymond_randolph_jr,"for the United States, as amicus curiae, by special leave of Court",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1997.96-1693,Hopkins v. Reeves,96-1693,888213600.0,897282000.0,Hopkins,Petitioner,Reeves,Respondent,Hopkins,majority opinion,8.0,1.0,,,,,,,,,,,,,majority,minority,majority,majority,39939.0,roy_w_mcleese,"On behalf of the United States, as amicus curiae, supporting the petitioner",21505.0,donald_b_stenberg,Argued the cause for the petitioner,majority,majority,majority,majority,majority,37976.0,paula_hutchinson,"Appointed by the U.S. Supreme Court, argued the cause for the respondent",,,,,,,,,,,,39837.0,roy_w_mcleese_iii,for United States as amicus curiae by special leave of the Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2001.01-455,Franconia Associates v. United States,01-455,1018846800.0,1023685200.0,Franconia Associates,Petitioner,United States,Respondent,Franconia Associates,majority opinion,9.0,0.0,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1979.78-1183,Carbon Fuel Company v. United Mine Workers of America,78-1183,310629600.0,313653600.0,Carbon Fuel Company,Petitioner,United Mine Workers of America,Respondent,,majority opinion,9.0,0.0,,,,majority,majority,majority,,,,majority,majority,majority,majority,majority,,,26769.0,harrison_coombs,"On behalf of United Mine Workers of America, et al",21037.0,david_d_johnson,On behalf of the Petitioner,,,,,,26739.0,harrison_combs,for respondents,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1982.81-1536,Commissioner v. Tufts,81-1536,407397600.0,420699600.0,Commissioner,Petitioner,Tufts,Respondent,Commissioner,majority opinion,9.0,0.0,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,39967.0,ronald_m_mankoff,on behalf of the Respondents,42099.0,stuart_a_smith,on behalf of the Petitioner,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1972.71-1442,Colgrove v. Battin,71-1442,96098400.0,109486800.0,Colgrove,Petitioner,Battin,Respondent,,majority opinion,5.0,4.0,,,minority,minority,majority,majority,,,,minority,majority,minority,majority,,,,35113.0,lloyd_j_skedd,for petitioner,25098.0,gale_crowley,for respondent,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
