,file_name,case_name,docket_number,Argued,Decided,Granted,first_party,first_party_label,second_party,second_party_label,winning_party,decision_type,majority_vote,minority_vote,advocate_0,advocate_description_0,advocate_1,advocate_description_1,advocate_2,advocate_description_2,advocate_3,advocate_description_3,advocate_4,advocate_description_4,advocate_5,advocate_description_5,advocate_6,advocate_description_6,advocate_7,advocate_description_7,advocate_8,advocate_description_8,advocate_9,advocate_description_9,advocate_10,advocate_description_10,advocate_11,advocate_description_11,advocate_12,advocate_description_12,advocate_13,advocate_description_13,advocate_14,advocate_description_14,advocate_15,advocate_description_15,john_m_harlan2,hugo_l_black,william_o_douglas,potter_stewart,william_j_brennan_jr,byron_r_white,earl_warren,tom_c_clark,abe_fortas,thurgood_marshall,harry_a_blackmun,lewis_f_powell_jr,william_h_rehnquist,john_paul_stevens,sandra_day_oconnor,antonin_scalia,anthony_m_kennedy,david_h_souter,clarence_thomas,ruth_bader_ginsburg,stephen_g_breyer,felix_frankfurter,harold_burton,stanley_reed,sherman_minton,arthur_j_goldberg,sonia_sotomayor,john_g_roberts_jr,samuel_a_alito_jr,warren_e_burger,elena_kagan,neil_gorsuch,brett_m_kavanaugh,charles_e_whittaker
0,1988.87-764,Florida v. Riley,87-764,1988-10,1989-01,1988-02,Florida,Petitioner,Michael A. Riley,Respondent,Florida,plurality opinion,5.0,4.0,parker_d_thomson,on behalf of the Petitioner,marc_h_salton,on behalf of the Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,,,,minority,minority,,majority,minority,majority,majority,majority,,,,,,,,,,,,,,,,,
0,1990.89-1782,Blatchford v. Native Village of Noatak,89-1782,1991-02,1991-06,,Blatchford,Petitioner,Native Village of Noatak,Respondent,Blatchford,majority opinion,6.0,3.0,rex_e_lee,on behalf of the Petitioner,lawrence_a_aschenbrenner,on behalf of the Respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,minority,minority,,majority,minority,majority,majority,majority,majority,,,,,,,,,,,,,,,,
0,1959.339,Hew Hampshire Fire Insurance Company v. Scanlon,339,1960-03,1960-04,,Hew Hampshire Fire Insurance Company,Petitioner,Scanlon,Respondent,,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,,majority,majority,,,,,,,,,,,,,,majority,,,,,,,,,,,,majority
0,2007.06-1082,Virginia v. Moore,06-1082,2008-01,2008-04,2007-09,Commonwealth of Virginia,Petitioner,David Lee Moore,Respondent,Virginia,majority opinion,9.0,0.0,michael_r_dreeben,"on behalf of the United States, as amicus curiae, supporting the Petitioner",thomas_c_goldstein,on behalf of the Respondent,stephen_b_mccullough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,majority,majority,majority,majority,majority,majority,,,,,,,majority,majority,,,,,
0,1983.82-629,"Three Affiliated Tribes of Fort Berthold Reservation v. Wold Engineering, P. C.",82-629,1983-11,1984-05,,Three Affiliated Tribes of Fort Berthold Reservation,Petitioner,"Wold Engineering, P. C.",Respondent,Three Affiliated Tribes of Fort Berthold Reservation,majority opinion,7.0,2.0,raymond_cross,on behalf of the Petitioners,hugh_mc_cutcheon,on behalf of the Respondent,louis_f_claiborne,on behalf of the U.S. as amicus curiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,majority,minority,minority,majority,,,,,,,,,,,,,,,majority,,,,
0,1963.1370000000002,Massachusetts Trustees of Eastern Gas & Fuel Associates v. United States,137,1964-02,1964-05,,Massachusetts Trustees of Eastern Gas & Fuel Associates,Petitioner,United States,Respondent,,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,majority,,,,,,,,
0,1995.95-8836,Felker v. Turpin,95-8836,1996-06,1996-06,,Felker,Petitioner,Turpin,Respondent,,majority opinion,9.0,0.0,susan_v_boleyn,Argued the cause for the respondent,henry_p_monaghan,Argued the cause for the petitioner,drew_s_days_iii,"On behalf of the United States, as amicus curiae, supporting the respondent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,
0,2007.06-179,"Riegel v. Medtronic, Inc.",06-179,2007-12,2008-02,2007-06,"Donna S. Riegel, individually and as administrator of the Estate of Charles R. Riegel",Petitioner,"Medtronic, Inc.",Respondent,,majority opinion,8.0,1.0,allison_m_zieve,on behalf of the Petitioner,edwin_s_kneedler,"on behalf of the United States, as amicus curiae, supporting the Respondent",theodore_b_olson,on behalf of the Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,majority,majority,majority,majority,minority,majority,,,,,,,majority,majority,,,,,
0,1973.72-1118,Arnett v. Kennedy,72-1118,1973-11,1974-04,,Arnett,Appellant,Kennedy,Appellee,Arnett,plurality opinion,5.0,4.0,daniel_m_friedman,for appellants,charles_barnhill_jr,for appellees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,minority,minority,,,,minority,majority,majority,majority,,,,,,,,,,,,,,,,,majority,,,,
0,1973.72-331,Lefkowitz v. Turley,72-331,1973-10,1973-11,,Lefkowitz,Appellant,Turley,Appellee,,majority opinion,9.0,0.0,brenda_soloff,,richard_o_robinson,for appellees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,,,,majority,majority,majority,majority,,,,,,,,,,,,,,,,,majority,,,,
0,1993.92-519,Johnson v. De Grandy,92-519,1993-10,1994-06,,Johnson,Appellant,De Grandy,Appellee,Johnson,majority opinion,7.0,2.0,joel_i_klein,"on behalf of Florida, et al",c_allen_foster,"on behalf of De Grandy, et al",james_a_feldman,on behalf of the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,majority,majority,majority,minority,majority,majority,minority,majority,,,,,,,,,,,,,,
0,1986.85-1385,United States v. General Dynamics Corp.,85-1385,1987-01,1987-04,,United States,Petitioner,General Dynamics Corp.,Respondent,United States,majority opinion,6.0,3.0,lynne_e_mc_nown,on behalf of the respondent,alan_i_horowitz,on behalf of the petitioner,lynne_e_mcnown,for the respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,minority,majority,majority,minority,minority,majority,,,,,,,,,,,,,,,,,,
0,1959.76,"Superior Court of Wash. for King Cty. v. Washington ex rel. Yellow Cab Service, Inc.",76,1960-01,1960-01,,Superior Court of Wash. for King Cty.,Petitioner,"Washington ex rel. Yellow Cab Service, Inc.",Respondent,Superior Court of Wash. for King Cty.,per curiam,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,,majority,majority,,,,,,,,,,,,,,majority,,,,,,,,,,,,majority
0,2007.06-637,Bd. of Educ. of City Sch. Dist. of N.Y. v. Tom F.,06-637,2007-10,2007-10,2007-02,Board of Education of the City School District of the City of New York,Petitioner,"Tom F., on behalf of Gilbert F., a minor child",Respondent,,equally divided,0.0,0.0,leonard_j_koerner,on behalf of the Petitioner,paul_g_gardephe,on behalf of Respondent,gregory_g_garre,on behalf of the United States as amicus curiae supporting Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,none,none,none,none,none,,,,,,,none,none,,,,,
0,2012.11-1327,Evans v. Michigan,11-1327,2012-11,2013-02,2012-06,Lamar Evans,Petitioner,Michigan,Respondent,Lamar Evans,majority opinion,8.0,1.0,david_a_moran,for the petitioner,timothy_a_baughman,for the respondent,curtis_e_gannon,"Assistant to the Solicitor General, Department of Justice, for the United States as amicus curiae supporting the respondent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,majority,majority,majority,,,,,,majority,majority,minority,,majority,,,
0,1988.87-980,Mississippi Choctaw Indian Band v. Holyfield,87-980,1989-01,1989-04,,Mississippi Choctaw Indian Band,Petitioner,Holyfield,Respondent,Mississippi Choctaw Indian Band,majority opinion,6.0,3.0,edward_a_miller,on behalf of the Appellees,edwin_r_smith,on behalf of the Appellant,edward_o_miller,on behalf of the appellees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,,minority,minority,majority,majority,minority,,,,,,,,,,,,,,,,,
0,2002.01-706,Sprietsma v. Mercury Marine,01-706,2002-10,2002-12,,Sprietsma,Petitioner,Mercury Marine,Respondent,Sprietsma,majority opinion,9.0,0.0,leslie_a_brueckner,on behalf of the Petitioner,malcolm_l_stewart,"on behalf of the United States, as amicus curiae, supporting the Petitioner",stephen_m_shapiro,on behalf of the Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,
0,1980.79-1538,"Hodel v. Virginia Surface Mining & Reclamation Association, Inc.",79-1538,1981-02,1981-06,,Hodel,Appellant,"Virginia Surface Mining & Reclamation Association, Inc.",Appellee,Hodel,majority opinion,9.0,0.0,j_marshall_coleman,on behalf of Appellees (No. 79-1538) and of Appellants (No. 79-1596),peter_buscemi,on behalf of Appellant (No. 79-1538) and of Appellees (No. 79-1596),marshall_coleman,for appellees in 79-1538 and for appellants in 79-1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,majority,,,,
0,1992.92-603,"Federal Communications Commission v. Beach Communications, Inc.",92-603,1993-03,1993-06,,Federal Communications Commission,Petitioner,"Beach Communications, Inc.",Respondent,Federal Communications Commission,majority opinion,9.0,0.0,deborah_c_costlow,Argued the cause for the respondents,john_f_manning,"Department of Justice, argued the cause for the petitioners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,,majority,,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,
0,1984.83-1935,Tony and Susan Alamo Foundation v. Secretary of Labor,83-1935,1985-03,1985-04,,Tony and Susan Alamo Foundation,Petitioner,Secretary of Labor,Respondent,,majority opinion,9.0,0.0,charles_fried,on behalf of the Respondent,roy_r_gean_jr,on behalf of the Petitioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,majority,,,,
0,1977.76-1151,United States v. Ceccolini,76-1151,1977-12,1978-03,,United States,Petitioner,Ceccolini,Respondent,United States,majority opinion,6.0,2.0,richard_a_allen,for petitioner,leon_j_greenspan,for respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,majority,,,,minority,none,majority,majority,majority,,,,,,,,,,,,,,,,majority,,,,
0,1983.82-1050,Heckler v. Matthews,82-1050,1983-12,1984-03,,Heckler,Appellant,Matthews,Appellee,Heckler,majority opinion,9.0,0.0,john_r_benn,Argued the cause for the appellees,mark_i_levy,Argued the cause for the appellant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,majority,,,,
0,1987.86-1743,Monessen v. Southwestern Railway Company v. Morgan,86-1743,1988-02,1988-06,,Monessen Southwestern R. Co.,Appellant,Morgan,Appellee,Monessen Southwestern R. Co.,majority opinion,7.0,2.0,paul_a_manion,on behalf of the Appellant,thomas_hollander,on behalf of the Appellee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,minority,minority,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,
0,1974.73-6848,Bowen v. United States,73-6848,1975-02,1975-06,,Bowen,Petitioner,United States,Respondent,,majority opinion,5.0,4.0,mark_l_evans,for the United States,michael_d_nasatir,for John Lee Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,minority,minority,majority,,,,minority,majority,majority,majority,,,,,,,,,,,,,,,,,majority,,,,
0,1961.72,Cramp v. Board of Public Instruction or Orange County,72,1961-10,1961-12,,Cramp,Appellant,Board of Public Instruction or Orange County,Appellee,Cramp,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,,majority,majority,,,,,,,,,,,,,,majority,,,,,,,,,,,,majority
0,1974.73-1316,Renegotiation Bd. v. Grumman Aircraft Engineering Corporation,73-1316,1975-01,1975-04,,Renegotiation Bd.,Petitioner,Grumman Aircraft Engineering Corporation,Respondent,Renegotiation Bd.,majority opinion,7.0,1.0,allan_a_tuttle,for petitioner,tom_m_schaumberg,for respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,majority,,,,majority,majority,none,majority,,,,,,,,,,,,,,,,,majority,,,,
0,1969.632,Alexander v. Holmes County Board of Education,632,1969-10,1969-10,,Beatrice Alexander,Petitioner,Holmes County Board of Education,Respondent,Alexander,per curiam,8.0,0.0,jack_greenberg,For the Petitioner,jeris_leonard,For the Respondent,a_f_summer,For the Respondent,john_c_satterfield,For the Respondent,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,,,,majority,,,,,,,,,,,,,,,,,,,,majority,,,,
0,2009.08-1457,New Process Steel v. NLRB,08-1457,2010-03,2010-06,2009-11,New Process Steel,Petitioner,National Labor Relations Board,Respondent,New Process Steel,majority opinion,5.0,4.0,sheldon_e_richie,for the petitioner,neal_kumar_katyal,"Deputy Solicitor General, Department of Justice, for the respondent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,majority,minority,,majority,minority,minority,,,,,,minority,majority,majority,,,,,
0,1999.98-1480,Beck v. Prupis,98-1480,1999-11,2000-04,,Beck,Petitioner,Prupis,Respondent,,majority opinion,7.0,2.0,michael_m_rosenbaum,Argued the cause for the respondents,jay_starkman,Argued the cause for the petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,majority,majority,majority,minority,majority,majority,majority,,,,,,,,,,,,,
0,1979.79-521,"Consumer Product Safety Commission v. GTE Sylvania, Inc.",79-521,1980-04,1980-06,,Consumer Product Safety Commission,Petitioner,"GTE Sylvania, Inc.",Respondent,,majority opinion,9.0,0.0,peter_buscemi,"for petitioners, pro hac vice, by special leave of Court",bernard_g_segal,for respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,majority,,,,
0,1975.75-5027,Bryan v. Itasca County,75-5027,1976-04,1976-06,,Bryan,Petitioner,Itasca County,Respondent,Bryan,majority opinion,9.0,0.0,bernard_p_becker,for petitioner,c_h_luther,for respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,majority,,,,
0,2007.06-8273,Danforth v. Minnesota,06-8273,2007-10,2008-02,2007-05,Stephen Danforth,Petitioner,Minnesota,Respondent,Stephen Danforth,majority opinion,7.0,2.0,benjamin_j_butler,on behalf of the Petitioner,patrick_c_diamond,on behalf of the Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,majority,minority,majority,majority,majority,majority,,,,,,,minority,majority,,,,,
0,1985.84-1321,Nix v. Whiteside,84-1321,1985-11,1986-02,,Nix,Petitioner,Whiteside,Respondent,Nix,majority opinion,9.0,0.0,patrick_reilly_grady,on behalf of Respondent,brent_r_appel,on behalf of Petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,majority,,,,
0,2009.09-6338,Dillon v. United States,09-6338,2010-03,2010-06,2009-12,Percy Dillon,Petitioner,United States,Respondent,,majority opinion,7.0,1.0,lisa_b_freeland,for the petitioner,leondra_r_kruger,"Assistant to the Solicitor General, Department of Justice, for the respondent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,,majority,majority,,majority,majority,majority,,,,,,majority,majority,none,,,,,
0,1968.42,Shuttlesworth v. City of Birmingham,42,1968-11,1969-03,,Shuttlesworth,Petitioner,City of Birmingham,Respondent,Shuttlesworth,majority opinion,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,,majority,none,,,,,,,,,,,,,,,,,,,,,,,,
0,1979.79-253,"Marshall v. Jerrico, Inc.",79-253,1980-03,1980-04,,Marshall,Appellant,"Jerrico, Inc.",Appellee,Marshall,majority opinion,9.0,0.0,kenneth_s_geller,for appellants,thomas_w_power,for appellee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,majority,,,,
0,1987.86-714,Westfall v. Erwin,86-714,1987-11,1988-01,,Westfall,Petitioner,Erwin,Respondent,,majority opinion,8.0,0.0,m_clay_alspaugh,on behalf of the Respondent,donald_b_ayer,on behalf of the Petitioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,
0,2011.11-5683,Dorsey v. United States,11-5683,2012-04,2012-06,2011-11,"Edward Dorsey, Sr.",Petitioner,United States,Respondent,"Edward Dorsey, Sr.",majority opinion,5.0,4.0,stephen_e_eberhardt,for the petitioners,michael_r_dreeben,"Deputy Solicitor General, Department of Justice, for the respondent in support of petitioner",miguel_a_estrada,for amicus curiae appointed by the Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,,minority,majority,majority,,,,,,majority,minority,minority,,majority,,,
0,1975.74-1269,Kelley v. Johnson,74-1269,1975-12,1976-04,,Kelley,Petitioner,Johnson,Respondent,Kelley,majority opinion,6.0,2.0,patrick_a_sweeney,for petitioner; Howard E,leonard_d_wexler,for respondent; Richard T,james_van_r_springer,"for International Brotherhood of Police Officers, amicus curiae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,majority,,,,minority,majority,majority,majority,none,,,,,,,,,,,,,,,,majority,,,,
0,1995.95-354,O'Connor v. Consolidated Coin Caterers Corporation,95-354,1996-02,1996-04,,O'Connor,Petitioner,Consolidated Coin Caterers Corporation,Respondent,O'Connor,majority opinion,9.0,0.0,james_b_spears,Argued the cause for the respondent,george_daly,Argued the cause for the petitioner,paul_r_q_wolfson,"On behalf of the United States, as amicus curiae, supporting the petitioner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,
0,1991.90-8466,Riggins v. Nevada,90-8466,1992-01,1992-05,1991-10,David Riggins,Petitioner,Nevada,Respondent,Riggins,majority opinion,7.0,2.0,james_tufteland,on behalf of the Respondent,mace_j_yampolsky,on behalf of the Petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,,majority,,majority,majority,majority,minority,majority,majority,minority,,,,,,,,,,,,,,,
0,1966.47,United States v. Fabrizio,47,1966-11,1966-12,,United States,Appellant,Fabrizio,Appellee,United States,majority opinion,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,minority,majority,majority,majority,majority,minority,,,,,,,,,,,,,,,,,,,,,,,,,
0,1979.79-509,Exxon Corporation v. Department of Rev. of Wisconsin,79-509,1980-03,1980-06,,Exxon Corporation,Appellant,Department of Rev. of Wisconsin,Appellee,,majority opinion,8.0,0.0,thomas_g_ragatz,on behalf of the Appellant,gerald_s_wilcox,on behalf of the Appellee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,majority,majority,,,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,majority,,,,
0,1975.74-753,United States v. Testan,74-753,1975-11,1976-03,,United States,Petitioner,Testan,Respondent,United States,majority opinion,8.0,0.0,john_p_rupp,,edwin_j_mcdermott,for respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,majority,majority,none,,,,,,,,,,,,,,,,majority,,,,
0,1966.53,National Labor Relations Board v. C & C Plywood Corporation,53,1966-11,1967-01,,National Labor Relations Board,Petitioner,C & C Plywood Corporation,Respondent,National Labor Relations Board,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,
0,2016.15-537,Bravo-Fernandez v. United States,15-537,2016-10,2016-11,2016-03,"Juan Bravo-Fernandez, et al.",Petitioner,United States,Respondent,United States,majority opinion,8.0,0.0,lisa_s_blatt,For petitioners,elizabeth_b_prelogar,For respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,majority,majority,majority,,,,,,majority,majority,majority,,majority,,,
0,1972.71-1051,Paris Adult Theatre I v. Slaton,71-1051,1972-10,1973-06,,Paris Adult Theatre I,Petitioner,Slaton,Respondent,Paris Adult Theatre I,majority opinion,5.0,4.0,thomas_moran,Argued the cause for the respondents,robert_eugene_smith,Argued the cause for the petitioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,minority,minority,majority,,,,minority,majority,majority,majority,,,,,,,,,,,,,,,,,majority,,,,
0,2008.07-1356,Kansas v. Ventris,07-1356,2009-01,2009-04,2008-10,State of Kansas,Petitioner,Donnie Ventris,Respondent,State of Kansas,majority opinion,7.0,2.0,stephen_r_mcallister,argued the cause for the petitioner,nicole_saharsky,"Assistant to the Solicitor General, Department of Justice, for the United States, as amicus curiae, supporting the petitioner",matthew_j_edge,argued the cause for the respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,,majority,majority,majority,majority,minority,majority,,,,,,,majority,majority,,,,,
0,1995.95-340,"United Food & Commercial Workers v. Brown Group, Inc.",95-340,1996-02,1996-05,,United Food & Commercial Workers,Petitioner,"Brown Group, Inc.",Respondent,United Food & Commercial Workers,majority opinion,9.0,0.0,lan_jenkins,"On behalf of the United States, as amicus curiae, supporting the petitioner",alan_jenkins,"on behalf of the United States, as amicus curiae, supporting the Petitioner",laurence_e_gold,Argued the cause for the petitioner,thomas_c_walsh,Argued the cause for the respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,
0,2009.08-876,Black v. United States,08-876,2009-12,2010-06,2009-05,"Conrad M. Black, John A. Boultbee, and Mark S. Kipnis",Petitioner,United States,Respondent,"Conrad M. Black, John A. Boultbee, and Mark S. Kipnis",majority opinion,9.0,0.0,miguel_a_estrada,for the petitioners,michael_r_dreeben,"Deputy Solicitor General, Department of Justice, for the respondent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,majority,majority,,majority,majority,majority,,,,,,majority,majority,majority,,,,,
0,1955.486,National Labor Relations Board v. Truitt Mfg. Company,486,1956-03,1956-05,,National Labor Relations Board,Petitioner,Truitt Mfg. Company,Respondent,National Labor Relations Board,majority opinion,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,,,majority,minority,,,,,,,,,,,,,,minority,majority,majority,majority,,,,,,,,,
0,1987.87-5096,West v. Atkins,87-5096,1988-03,1988-06,,West,Petitioner,Atkins,Respondent,West,majority opinion,9.0,0.0,jacob_l_safron,on behalf of the respondent,adam_stein,on behalf of the petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,
0,1987.86-728,Honig v. Doe,86-728,1987-11,1988-01,,Bill Honig,Petitioner,John Doe and Jack Smith,Respondent,,majority opinion,6.0,2.0,sheila_l_brogna,on behalf of Respondents,asher_rubin,on behalf of the Petitioner,glen_d_nager,as Amicus Curiae; in support of Petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,,majority,majority,minority,minority,,,,,,,,,,,,,,,,,,
0,1993.92-1550,"ABF Freight Systems, Inc. v. National Labor Relations Board",92-1550,1993-12,1994-01,,"ABF Freight Systems, Inc.",Petitioner,National Labor Relations Board,Respondent,,majority opinion,9.0,0.0,john_v_jansonius,on behalf of the Petitioner,lawrence_g_wallace,on behalf of the Respondent,deputy_solicitor_general_wallace,argued the cause for respondent,james_d_holzhauer,for the American Trucking Associations as amicus curiae urging reversal,timothy_s_bishop,for the American Trucking Associations as amicus curiae urging reversal,daniel_r_barney,for the American Trucking Associations as amicus curiae urging reversal,e_carl_uehlein_jr,for the Chamber of Commerce of the United States et al. as amici curiae,joseph_e_santucci_jr,for the Chamber of Commerce of the United States et al. as amici curiae,stephen_a_bokat,for the Chamber of Commerce of the United States et al. as amici curiae,robin_s_conrad,for the Chamber of Commerce of the United States et al. as amici curiae,mona_c_zeiberg,for the Chamber of Commerce of the United States et al. as amici curiae,,,,,,,,,,,,,,,,,,,,,majority,,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,
0,2009.08-645,Abbott v. Abbott,08-645,2010-01,2010-05,2009-06,Timothy Mark Cameron Abbott,Petitioner,Jacquelyn Vaye Abbott,Respondent,Timothy Mark Cameron Abbott,majority opinion,6.0,3.0,amy_howe,for the petitioner,ginger_anders,"Assistant to the Solicitor General, Department of Justice, for the United States, as amicus curiae",karl_e_hays,on behalf of the respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,,majority,majority,,minority,majority,minority,,,,,,majority,majority,majority,,,,,
0,2006.05-1120,Massachusetts v. Environmental Protection Agency,05-1120,2006-11,2007-04,2006-06,Massachusetts et al.,Petitioner,Environmental Protection Agency et al.,Respondent,"Environmental Protection Agency, et al.",majority opinion,5.0,4.0,james_r_milkey,argued the cause for Petitioners,gregory_g_garre,argued the cause for Respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,minority,majority,majority,minority,majority,majority,,,,,,,minority,minority,,,,,
0,1989.88-1369,Maryland v. Buie,88-1369,1989-12,1990-02,1989-06,Maryland,Petitioner,Jerome Edward Buie,Respondent,Maryland,majority opinion,7.0,2.0,john_l_kopolow,on behalf of the Respondent,lawrence_s_robbins,"on behalf of the United States as amicus curiae, supporting the Petitioner",dennis_m_sweeney,on behalf of the Petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,,,,minority,majority,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,
0,1985.84-1484,"Wisconsin Department of Industry, Labor and Human Relations v. Gould, Inc.",84-1484,1985-12,1986-02,,"Wisconsin Department of Industry, Labor and Human Relations",Appellant,"Gould, Inc.",Appellee,,majority opinion,9.0,0.0,charles_d_hoornstra,on behalf of the Petitioner,columbus_r_gangemi,on behalf of the Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,majority,,,,
0,1967.705,Bruton v. United States,705,1968-03,1968-05,1967-10,George William Bruton,Petitioner,United States,Respondent,Bruton,majority opinion,6.0,2.0,daniel_p_reardon_jr,for the petitioner,erwin_n_griswold,for the respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,majority,majority,minority,majority,,majority,none,,,,,,,,,,,,,,,,,,,,,,,,
